Sample	bam_file	total_reads	mapped_reads	mapped_bases	sequenced_bases	mean_insert_size	median_insert_size	mean_mapping_quality	general_error_rate	mean_coverage	percentage_aligned
S114_SZ20200107033PES_sort_dedup_realigned_recal	S114_SZ20200107033PES_sort_dedup_realigned_recal.bam	103701030.0	103671728.0	7732294683.0	7731505534.0	42374.6555	169.0	57.2717	0.0039	127.8975	99.97174377149388
S115_BJ20190416027PES_sort_dedup_realigned_recal	S115_BJ20190416027PES_sort_dedup_realigned_recal.bam	243309882.0	243235722.0	17276074965.0	17274061246.0	20466.3004	136.0	57.1215	0.004	285.7582	99.96952035018455
S115_BJ20190416107PES_sort_dedup_realigned_recal	S115_BJ20190416107PES_sort_dedup_realigned_recal.bam	252518460.0	252452972.0	18640595512.0	18638628108.0	10699.4253	145.0	57.1829	0.0056	308.3283	99.97406605441836
S115_SZ20200107034PES_sort_dedup_realigned_recal	S115_SZ20200107034PES_sort_dedup_realigned_recal.bam	108686964.0	108659946.0	8131195058.0	8130382448.0	33157.1114	163.0	57.2719	0.0039	134.4956	99.97514145302651
S116_BJ20190416097PES_sort_dedup_realigned_recal	S116_BJ20190416097PES_sort_dedup_realigned_recal.bam	227999504.0	227940418.0	16083648691.0	16082096236.0	9210.9791	141.0	57.2279	0.0039	266.0347	99.97408503134288
S116_BJ20190416108PTS_sort_dedup_realigned_recal	S116_BJ20190416108PTS_sort_dedup_realigned_recal.bam	281466676.0	281393311.0	21386148553.0	21383782653.0	15108.6023	170.0	57.2315	0.0066	353.7417	99.97393474742992
S116_SZ20191229048PTS_sort_dedup_realigned_recal	S116_SZ20191229048PTS_sort_dedup_realigned_recal.bam	90426114.0	90402478.0	6655646932.0	6654943139.0	32439.081	154.0	57.2422	0.0045	110.089	99.97386153296381
S117_BJ20190416115PES_sort_dedup_realigned_recal	S117_BJ20190416115PES_sort_dedup_realigned_recal.bam	278058438.0	277953056.0	20192605134.0	20190557863.0	8807.3313	136.0	57.1534	0.0038	333.9997	99.96210077250021
S117_BJ20190416121PES_sort_dedup_realigned_recal	S117_BJ20190416121PES_sort_dedup_realigned_recal.bam	210691948.0	210636694.0	15924931378.0	15923198609.0	11543.3831	150.0	57.2473	0.0054	263.4094	99.9737749826111
S117_SZ20191229049PTS_sort_dedup_realigned_recal	S117_SZ20191229049PTS_sort_dedup_realigned_recal.bam	103949214.0	103919160.0	7604347983.0	7603513812.0	42119.3403	166.0	57.2622	0.0046	125.7812	99.97108780447344
S118_BJ20190416119PES_sort_dedup_realigned_recal	S118_BJ20190416119PES_sort_dedup_realigned_recal.bam	241003906.0	240924775.0	17484042271.0	17482241036.0	30749.2165	139.0	57.1625	0.0038	289.1982	99.96716609232051
S118_BJ20190416122PTS_sort_dedup_realigned_recal	S118_BJ20190416122PTS_sort_dedup_realigned_recal.bam	215643480.0	215595801.0	15817430989.0	15815872773.0	9044.644	153.0	57.2609	0.0058	261.6313	99.97788989493213
S118_SZ20200107037PES_sort_dedup_realigned_recal	S118_SZ20200107037PES_sort_dedup_realigned_recal.bam	106634222.0	106604739.0	7779870421.0	7779076340.0	39476.0878	153.0	57.2257	0.004	128.6844	99.97235127762268
S119_BJ20190416123PES_sort_dedup_realigned_recal	S119_BJ20190416123PES_sort_dedup_realigned_recal.bam	263392888.0	263322903.0	20220496704.0	20218338611.0	14069.2767	155.0	57.1839	0.0055	334.461	99.97342942684162
S119_SZ20200107036PES_sort_dedup_realigned_recal	S119_SZ20200107036PES_sort_dedup_realigned_recal.bam	104514766.0	104489415.0	7448518258.0	7447771946.0	32996.2704	145.0	57.2104	0.004	123.2036	99.97574409725033
S120_BJ20190416124PTS_sort_dedup_realigned_recal	S120_BJ20190416124PTS_sort_dedup_realigned_recal.bam	269206128.0	269138864.0	20743426136.0	20741361214.0	9836.11	161.0	57.2071	0.006	343.1106	99.97501394173315
S120_SZ20200107039PES_sort_dedup_realigned_recal	S120_SZ20200107039PES_sort_dedup_realigned_recal.bam	106250624.0	106218051.0	7288544896.0	7287771949.0	48609.9016	139.0	57.1707	0.0039	120.5576	99.96934323886887
S121_BJ20190416125PES_sort_dedup_realigned_recal	S121_BJ20190416125PES_sort_dedup_realigned_recal.bam	220102248.0	220042947.0	16006366140.0	16004695986.0	7502.4688	141.0	57.2187	0.0055	264.7564	99.9730575218841
S121_SZ20200107040PES_sort_dedup_realigned_recal	S121_SZ20200107040PES_sort_dedup_realigned_recal.bam	101999692.0	101974768.0	7473526170.0	7472782337.0	45598.4952	154.0	57.2286	0.0039	123.6173	99.97556463209712
S134_SZ20191229067PES_sort_dedup_realigned_recal	S134_SZ20191229067PES_sort_dedup_realigned_recal.bam	227309222.0	227218500.0	17224258417.0	17222305802.0	41100.1804	176.0	57.2328	0.004	284.9012	99.96008872882422
S135_SZ20191229072PES_sort_dedup_realigned_recal	S135_SZ20191229072PES_sort_dedup_realigned_recal.bam	297419164.0	297290914.0	22155119403.0	22152177326.0	22076.4559	154.0	57.192	0.0039	366.461	99.95687903957662
S136_SZ20191229073PES_sort_dedup_realigned_recal	S136_SZ20191229073PES_sort_dedup_realigned_recal.bam	269581234.0	269467980.0	20256096238.0	20253748630.0	23374.5616	164.0	57.2218	0.0038	335.0498	99.9579889155044
S137_SZ20191229076PES_sort_dedup_realigned_recal	S137_SZ20191229076PES_sort_dedup_realigned_recal.bam	255263040.0	255098016.0	17849416615.0	17847500826.0	3927.436	137.0	57.1687	0.004	295.2417	99.93535139282208
S138_SZ20191229078PES_sort_dedup_realigned_recal	S138_SZ20191229078PES_sort_dedup_realigned_recal.bam	272956000.0	272778971.0	19604202806.0	19602094566.0	10953.3838	181.0	57.2544	0.0041	324.2671	99.93514375943376
S139_SZ20191229079PES_sort_dedup_realigned_recal	S139_SZ20191229079PES_sort_dedup_realigned_recal.bam	267700312.0	267583993.0	19308522284.0	19306627130.0	14403.4655	150.0	57.1952	0.0036	319.3763	99.95654879924085
S140_SZ20191229059PES_sort_dedup_realigned_recal	S140_SZ20191229059PES_sort_dedup_realigned_recal.bam	149450902.0	149264082.0	10789700834.0	10788233392.0	63546.6743	143.0	57.1195	0.0043	178.4691	99.87499573605785
S141_SZ20191229060PES_sort_dedup_realigned_recal	S141_SZ20191229060PES_sort_dedup_realigned_recal.bam	149406672.0	149152991.0	10612511035.0	10610899353.0	65683.1836	138.0	57.0984	0.0048	175.5383	99.83020771656034
S142_SZ20191229062PES_sort_dedup_realigned_recal	S142_SZ20191229062PES_sort_dedup_realigned_recal.bam	135424816.0	135291347.0	9614692314.0	9613278344.0	28272.5222	131.0	57.1476	0.0047	159.0337	99.90144420798032
S143_SZ20191229064PES_sort_dedup_realigned_recal	S143_SZ20191229064PES_sort_dedup_realigned_recal.bam	134107212.0	133960745.0	9265912808.0	9264527895.0	39227.5951	121.0	57.0346	0.0046	153.2646	99.89078365151607
S144_SZ20191229066PES_sort_dedup_realigned_recal	S144_SZ20191229066PES_sort_dedup_realigned_recal.bam	128691184.0	128597792.0	9548868092.0	9547542226.0	44104.5272	142.0	57.1597	0.004	157.9449	99.92742937231816
S149_BJ20190416017PES_sort_dedup_realigned_recal	S149_BJ20190416017PES_sort_dedup_realigned_recal.bam	317182712.0	317085886.0	21807201388.0	21805004253.0	112826.6132	146.0	57.0941	0.0036	360.7062	99.9694731155461
S154_BJ20190424023PES_sort_dedup_realigned_recal	S154_BJ20190424023PES_sort_dedup_realigned_recal.bam	234306452.0	234247185.0	16356618975.0	16355132570.0	65151.9155	139.0	57.0951	0.003	270.5498	99.97470534870291
S155_BJ20190424025PTS_sort_dedup_realigned_recal	S155_BJ20190424025PTS_sort_dedup_realigned_recal.bam	265848000.0	265786527.0	19769645839.0	19767909730.0	9649.9814	148.0	57.2053	0.0031	327.0036	99.97687663627336
S156_BJ20190424026PES_sort_dedup_realigned_recal	S156_BJ20190424026PES_sort_dedup_realigned_recal.bam	264530482.0	264462211.0	19950291329.0	19948324092.0	12332.9184	145.0	57.1789	0.0033	329.9916	99.97419163210083
S157_BJ20190424009PES_sort_dedup_realigned_recal	S157_BJ20190424009PES_sort_dedup_realigned_recal.bam	257536850.0	257466529.0	19732658929.0	19730663864.0	8741.394	150.0	57.214	0.0037	326.3918	99.97269478134876
S158_BJ20190424019PES_sort_dedup_realigned_recal	S158_BJ20190424019PES_sort_dedup_realigned_recal.bam	261729454.0	261660198.0	19740836844.0	19738840005.0	27126.684	146.0	57.1685	0.0034	326.5271	99.97353908819143
S159_BJ20190424024PES_sort_dedup_realigned_recal	S159_BJ20190424024PES_sort_dedup_realigned_recal.bam	272256940.0	272181103.0	20652045230.0	20650100688.0	56021.3771	163.0	57.1762	0.0033	341.5991	99.97214506267498
